Sun: 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Mercury: 1.6602e-07, -3.923325136801590e-01, -3.713264930933446e-02, 3.295766663000366e-02, -3.201676798590861e-03, -2.680031867500614e-02,-1.896230926444897e-03
Venus: 2.4476e-06, 6.798476045994712e-01, -2.558802514189129e-01, -4.274161667779475e-02, 7.013601854368689e-03, 1.884184229663867e-02, -1.462553215566962e-04
Earth: 3.0032e-06, 1.003538121253694, 1.410236892872957e-03, -7.890400039667053e-05, -1.833830875310781e-04, 1.713325008634928e-02, -2.247700714731761e-07
Mars: 3.2268e-07, 1.300249432273269e+00, -4.656510837430314e-01, -4.166262263677705e-02, 5.251113187528085e-03, 1.437025695367725e-02, 1.722660958214740e-04
Jupiter: 9.5450e-04, -2.795086855829125, -4.593269013324874, 8.161900152196526e-02, 6.361129851123679e-03, -3.570462926243191e-03, -1.275087715416329e-04
Saturn: 2.8579e-04, 1.439742609727961e+00, -9.959430644355701e+00, 1.158100322645102e-01, 5.222491694220162e-03, 7.784249952038912e-04, -2.215201194238760e-04
Uranus: 4.3643e-05, 1.721791702070171e+01, 9.922855560148477e+00, -1.861036069085565e-01, -1.986385579175476e-03, 3.220982913186835e-03, 3.757481140966035e-05
Neptune:  5.1495e-05, 2.890364967899459e+01, -7.793795126030317e+00, -5.056870585792740e-01,  8.033924240734470e-04,  3.046644601683701e-03, -8.173424308228378e-05
Pluto: 6.284e-09, 1.158056063895929e+01, -3.159118133672670e+01 , 2.997925022061235e-02, 3.031305848139115e-03, 4.274929036473756e-04, -9.136095530764387e-04
